0.142462 -nan
0.188247 3.14036
0.218712 3.14265
0.269237 3.13951
0.333691 3.14081
0.386264 3.14151
0.45258 3.14223
0.49441 3.14275
0.544422 3.14104
0.608197 3.14219
0.684904 3.14112
0.109559 -nan
0.174954 3.14156
0.2212 3.14297
0.272592 3.14274
0.328842 3.14147
0.376228 3.14381
0.434094 3.13976
0.511397 3.14214
0.550427 3.14166
0.61687 3.14313
0.660501 3.14465
0.111293 -nan
0.163226 3.14241
0.228838 3.14276
0.286001 3.13771
0.339881 3.14259
0.37712 3.1401
0.436595 3.14097
0.485701 3.14413
0.735675 3.14087
0.608689 3.14285
0.66172 3.1409
0.121395 -nan
0.163835 3.14276
0.22676 3.13744
0.28206 3.14034
0.344366 3.14242
0.382124 3.13989
0.43764 3.14331
0.519593 3.14244
0.573977 3.1417
0.603821 3.13997
0.660881 3.14393
0.125769 -nan
0.173963 3.14096
0.221137 3.14155
0.273569 3.14265
0.334674 3.14383
0.382558 3.14217
0.439776 3.13985
0.511394 3.1391
0.556501 3.14001
0.612965 3.14158
0.667177 3.14243
0.12 -nan
0.171225 3.13783
0.225668 3.1453
0.275425 3.14397
0.33131 3.14074
0.38519 3.13941
0.451289 3.14379
0.492486 3.14285
0.555568 3.1399
0.599023 3.14308
0.672703 3.14054
0.122413 -nan
0.163126 3.13991
0.218632 3.14016
0.274918 3.13941
0.321081 3.14021
0.386871 3.14323
0.454183 3.1408
0.544889 3.14073
0.551548 3.14146
0.603933 3.14081
0.659623 3.14013
0.121205 -nan
0.171625 3.14093
0.229182 3.14162
0.280739 3.14311
0.329578 3.14175
0.391593 3.14407
0.443499 3.14368
0.503089 3.14054
0.554329 3.14195
0.606909 3.14137
0.650636 3.14157
0.116156 -nan
0.168832 3.14457
0.220354 3.14031
0.276213 3.14338
0.333006 3.13971
0.386887 3.14037
0.441573 3.1426
0.496198 3.14418
0.546137 3.14253
0.596219 3.14184
0.667481 3.14241
0.125104 -nan
0.161968 3.13758
0.217943 3.14207
0.270849 3.14257
0.343487 3.14236
0.395776 3.14105
0.437807 3.13958
0.497392 3.14056
0.546268 3.14136
0.60495 3.14423
0.656348 3.14117
